# SIPES, Base de Titulos Universitarios (Direccion Nacional de Gestion Universitaria), https://sipes.siu.edu.ar/buscar_titulos_form.php . Consultado el 2026-09-07 con el formulario (institucion + parte del nombre del titulo). Columnas: Institucion | Titulo | Carrera | Resolucion que otorga reconocimiento oficial | Modalidad de dictado | Nivel academico.

## UNSTA, titulo con SOFTWARE
Universidad del Norte Santo Tomás de Aquino | TÉCNICO/A UNIVERSITARIO/A EN DESARROLLO Y CALIDAD DE SOFTWARE | TECNICATURA EN DESARROLLO Y CALIDAD DE SOFTWARE | R.M./2495/2018 - R.M./1186/2021 | PRESENCIAL | Pregrado
Universidad Empresarial Siglo 21 | ANALISTA DE SOFTWARE |   | R.M.0551/05 | PRESENCIAL | Pregrado
Universidad Empresarial Siglo 21 | ANALISTA UNIVERSITARIO/A EN ADMINISTRACIÓN PÚBLICA | LICENCIATURA EN ADMINISTRACIÓN PÚBLICA | R.M./966/2023 | A DISTANCIA | Pregrado
Universidad Empresarial Siglo 21 | ANALISTA UNIVERSITARIO/A EN MERCADO Y ESTRATEGIAS DE COMERCIALIZACIÓN | LICENCIATURA EN COMERCIALIZACIÓN - MARKETING | R.M./543/2023 | A DISTANCIA | Pregrado
Universidad Empresarial Siglo 21 | ANALISTA UNIVERSITARIO/A EN RELACIONES PÚBLICAS E INSTITUCIONALES | LICENCIATURA EN RELACIONES PÚBLICAS E INSTITUCIONALES | R.M.0924/95 - R.M./2070/2015 | A DISTANCIA | Pregrado
Universidad Empresarial Siglo 21 | ANALISTA UNIVERSITARIO/A EN RELACIONES PÚBLICAS E INSTITUCIONALES | LICENCIATURA EN RELACIONES PÚBLICAS E INSTITUCIONALES |   | PRESENCIAL | Pregrado
Universidad Empresarial Siglo 21 | ANALISTA UNIVERSITARIO/A EN RELACIONES PÚBLICAS E INSTITUCIONALES | LICENCIATURA EN RELACIONES PÚBLICAS E INSTITUCIONALES | R.M./853/2018 | PRESENCIAL | Pregrado
Universidad Empresarial Siglo 21 | ANALISTA UNIVERSITARIO/A EN SISTEMAS DE COMPUTACIÓN | LICENCIATURA EN INFORMÁTICA | R.M./2615/2021 | A DISTANCIA | Pregrado
Universidad Empresarial Siglo 21 | ANALISTA UNIVERSITARIO DE MERCADO Y ESTRATEGIAS DE COMERCIALIZACION |   | R.M.0924/95 | PRESENCIAL | Pregrado
Universidad Empresarial Siglo 21 | ANALISTA UNIVERSITARIO EN ADMINISTRACIÓN PÚBLICA | LICENCIATURA EN ADMINISTRACIÓN PÚBLICA | R.M./1732/2015 | PRESENCIAL | Pregrado
Universidad Empresarial Siglo 21 | ANALISTA UNIVERSITARIO EN ADMINISTRACIÓN PÚBLICA -MODALIDAD A DISTANCIA- | LICENCIATURA EN ADMINISTRACIÓN PÚBLICA -MODALIDAD A DISTANCIA- | R.M./291/2015 | A DISTANCIA | Pregrado
Universidad Empresarial Siglo 21 | ANALISTA UNIVERSITARIO EN MERCADO Y ESTRATEGIAS DE COMERCIALIZACIÓN | LICENCIATURA EN COMERCIALIZACIÓN-MARKETING | R.M./2155/2015 - R.M./2820/2015 | PRESENCIAL | Pregrado
Universidad Empresarial Siglo 21 | ANALISTA UNIVERSITARIO EN SISTEMAS DE COMPUTACIÓN |   | R.M.0924/95 | PRESENCIAL | Pregrado
Universidad Empresarial Siglo 21 | MARTILLERO/A, CORREDOR/A PÚBLICO/A Y CORREDOR/A INMOBILIARIO/A | MARTILLERO, CORREDOR PÚBLICO Y CORREDOR INMOBILIARIO | R.M./2998/2022 | A DISTANCIA | Pregrado
Universidad Empresarial Siglo 21 | MARTILLERO/A Y CORREDOR/A PÚBLICO/A | MARTILLERO Y CORREDOR PÚBLICO | R.M./2136/2016 | A DISTANCIA | Pregrado
Universidad Empresarial Siglo 21 | MARTILLERO/A Y CORREDOR/A PÚBLICO/A |   | R.M.1386/05 | PRESENCIAL | Pregrado
Universidad Empresarial Siglo 21 | MARTILLERO/A Y CORREDOR/A PÚBLICO/A |   | R.M./424/2009 - R.M./2136/2016 | A DISTANCIA | Pregrado
Universidad Empresarial Siglo 21 | MARTILLERO, CORREDOR PÚBLICO Y CORREDOR INMOBILIARIO | MARTILLERO, CORREDOR PÚBLICO Y CORREDOR INNMOBILIARIO -MODALIDAD A DISTANCIA- | R.M./0326/2013 - R.M./326/2013 | A DISTANCIA | Pregrado
Universidad Empresarial Siglo 21 | PROCURADOR | PROCURADOR | R.M./1160/2021 | A DISTANCIA | Pregrado
Universidad Empresarial Siglo 21 | PROCURADOR/A | PROCURADOR -MODALIDAD A DISTANCIA- | R.M./1437/2013 | A DISTANCIA | Pregrado

## Siglo 21, titulo con INFORM
Universidad Empresarial Siglo 21 | ANALISTA DE SISTEMAS DE INFORMACIÓN |   | R.M.0667/05 | PRESENCIAL | Pregrado
Universidad Empresarial Siglo 21 | INGENIERO/A EN SISTEMAS DE INFORMACIÓN |   | R.M.0667/05 | PRESENCIAL | Grado
Universidad Empresarial Siglo 21 | LICENCIADO/A EN AGROINFORMÁTICA | LICENCIATURA EN AGROINFORMÁTICA | D./125/2025 | A DISTANCIA | Grado
Universidad Empresarial Siglo 21 | LICENCIADO/A EN BIOINFORMÁTICA | LICENCIATURA EN BIOINFORMÁTICA | R.M./1834/2023 | A DISTANCIA | Grado
Universidad Empresarial Siglo 21 | LICENCIADO/A EN GESTIÓN DE LA INFORMACIÓN | LICENCIATURA EN GESTIÓN DE LA INFORMACIÓN | R.M./1152/2021 | PRESENCIAL | Grado
Universidad Empresarial Siglo 21 | LICENCIADO/A EN GESTIÓN DE LA INFORMACIÓN | LICENCIATURA EN GESTIÓN DE LA INFORMACIÓN | R.M./1003/2024 | A DISTANCIA | Grado
Universidad Empresarial Siglo 21 | LICENCIADO/A EN INFORMÁTICA | LICENCIATURA EN INFORMÁTICA | D./1290/2025 | A DISTANCIA | Grado
Universidad Empresarial Siglo 21 | LICENCIADO/A EN SEGURIDAD INFORMÁTICA | LICENCIATURA EN SEGURIDAD INFORMÁTICA | R.M./2074/2021 | PRESENCIAL | Grado
Universidad Empresarial Siglo 21 | LICENCIADO/A EN SEGURIDAD INFORMÁTICA | LICENCIATURA EN SEGURIDAD INFORMÁTICA | R.M./1346/2021 | A DISTANCIA | Grado
Universidad Empresarial Siglo 21 | LICENCIADO EN INFORMÁTICA |   | R.M.0701/02 | A DISTANCIA | Grado
Universidad Empresarial Siglo 21 | LICENCIADO EN INFORMATICA CON ORIENTACION EN ADMINISTRACION DE RECURSOS INFORMATICOS |   | R.M.0924/95 | PRESENCIAL | Grado
Universidad Empresarial Siglo 21 | TÉCNICO/A UNIVERSITARIO/A EN REDES INFORMÁTICAS Y TELECOMUNICACIONES | TECNICATURA UNIVERSITARIA EN REDES INFORMÁTICAS Y TELECOMUNICACIONES | R.M./2582/2016 - R.M./852/2024 | A DISTANCIA | Pregrado

## Siglo 21, titulo con SOFTWARE
Universidad Empresarial Siglo 21 | ANALISTA DE SOFTWARE |   | R.M.0551/05 | PRESENCIAL | Pregrado
Universidad Empresarial Siglo 21 | ESPECIALISTA EN INGENIERIA EN SOFTWARE |   | R.M.0651/05 | PRESENCIAL | Posgrado
Universidad Empresarial Siglo 21 | INGENIERO EN SOFTWARE |   | R.M.0551/05 | PRESENCIAL | Grado

## Detalle del titulo de UNSTA (boton Detalles)
Institución | Jurisdicción | Título | Carrera | Modalidad de dictado | Nivel académico | Res. reconocimiento oficial | R.M./2495/2018 | Descargar | R.M./1186/2021 | Descargar | No se registra datos coneau | Institución | Unidad académica | Universidad del Norte Santo Tomás de Aquino | Facultad de Ingeniería | No se registran sedes |
