# Anuario de Estadisticas Universitarias 2022 (SPU), version CSV, cuadros del capitulo 2 (pregrado y grado), filas de las cuatro universidades sembradas. Bajado el 2026-09-07 de https://www.argentina.gob.ar/educacion/universidades/informacion/publicaciones/anuarios (anuario_csv_2022.zip). Columnas: est = estudiantes, ni = nuevos inscriptos, r = reinscriptos, e = egresados; el sufijo es la rama o la disciplina.
cuadro,descripcion,institucion,columna,valor
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Empresarial Siglo 21,e_ciencias_sociales,7255
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Norte Santo Tomás de Aquino,est,7479
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Norte Santo Tomás de Aquino,ni,2398
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Norte Santo Tomás de Aquino,r,5081
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Norte Santo Tomás de Aquino,e,401
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Norte Santo Tomás de Aquino,est_ciencias_aplicadas,1143
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Norte Santo Tomás de Aquino,ni_ciencias_aplicadas,567
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Norte Santo Tomás de Aquino,r_ciencias_aplicadas,576
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Norte Santo Tomás de Aquino,e_ciencias_aplicadas,29
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Norte Santo Tomás de Aquino,est_ciencias_basicas,17
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Norte Santo Tomás de Aquino,ni_ciencias_basicas,2
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Norte Santo Tomás de Aquino,r_ciencias_basicas,15
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Norte Santo Tomás de Aquino,e_ciencias_basicas,4
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Norte Santo Tomás de Aquino,est_ciencias_salud,1459
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Norte Santo Tomás de Aquino,ni_ciencias_salud,371
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Norte Santo Tomás de Aquino,r_ciencias_salud,1088
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Norte Santo Tomás de Aquino,e_ciencias_salud,82
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Norte Santo Tomás de Aquino,est_ciencias_humanas,1230
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Norte Santo Tomás de Aquino,ni_ciencias_humanas,435
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Norte Santo Tomás de Aquino,r_ciencias_humanas,795
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Norte Santo Tomás de Aquino,e_ciencias_humanas,47
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Norte Santo Tomás de Aquino,est_ciencias_sociales,3630
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Norte Santo Tomás de Aquino,ni_ciencias_sociales,1023
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Norte Santo Tomás de Aquino,r_ciencias_sociales,2607
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Norte Santo Tomás de Aquino,e_ciencias_sociales,239
Cuadro_2_2_10,"ciencias aplicadas por disciplina (informatica), 2022",Empresarial Siglo 21,est,11683
Cuadro_2_2_10,"ciencias aplicadas por disciplina (informatica), 2022",Empresarial Siglo 21,ni,6188
Cuadro_2_2_10,"ciencias aplicadas por disciplina (informatica), 2022",Empresarial Siglo 21,r,5495
Cuadro_2_2_10,"ciencias aplicadas por disciplina (informatica), 2022",Empresarial Siglo 21,e,763
Cuadro_2_2_10,"ciencias aplicadas por disciplina (informatica), 2022",Empresarial Siglo 21,est_informatica,3629
Cuadro_2_2_10,"ciencias aplicadas por disciplina (informatica), 2022",Empresarial Siglo 21,ni_informatica,2031
Cuadro_2_2_10,"ciencias aplicadas por disciplina (informatica), 2022",Empresarial Siglo 21,r_informatica,1598
Cuadro_2_2_10,"ciencias aplicadas por disciplina (informatica), 2022",Empresarial Siglo 21,e_informatica,65
Cuadro_2_2_10,"ciencias aplicadas por disciplina (informatica), 2022",Norte Santo Tomás de Aquino,est,1143
Cuadro_2_2_10,"ciencias aplicadas por disciplina (informatica), 2022",Norte Santo Tomás de Aquino,ni,567
Cuadro_2_2_10,"ciencias aplicadas por disciplina (informatica), 2022",Norte Santo Tomás de Aquino,r,576
Cuadro_2_2_10,"ciencias aplicadas por disciplina (informatica), 2022",Norte Santo Tomás de Aquino,e,29
Cuadro_2_2_10,"ciencias aplicadas por disciplina (informatica), 2022",Norte Santo Tomás de Aquino,est_informatica,352
Cuadro_2_2_10,"ciencias aplicadas por disciplina (informatica), 2022",Norte Santo Tomás de Aquino,ni_informatica,232
Cuadro_2_2_10,"ciencias aplicadas por disciplina (informatica), 2022",Norte Santo Tomás de Aquino,r_informatica,120
Cuadro_2_2_10,"ciencias aplicadas por disciplina (informatica), 2022",Norte Santo Tomás de Aquino,e_informatica,1
Cuadro_2_2_20,"por modalidad presencial y a distancia, 2022",Empresarial Siglo 21,ma,89583
Cuadro_2_2_20,"por modalidad presencial y a distancia, 2022",Empresarial Siglo 21,ma_presencial,7337
Cuadro_2_2_20,"por modalidad presencial y a distancia, 2022",Empresarial Siglo 21,ma_distancia,82246
Cuadro_2_2_20,"por modalidad presencial y a distancia, 2022",Empresarial Siglo 21,ni,38360
Cuadro_2_2_20,"por modalidad presencial y a distancia, 2022",Empresarial Siglo 21,ni_presencial,2701
Cuadro_2_2_20,"por modalidad presencial y a distancia, 2022",Empresarial Siglo 21,ni_distancia,35659
Cuadro_2_2_20,"por modalidad presencial y a distancia, 2022",Empresarial Siglo 21,e,8717
Cuadro_2_2_20,"por modalidad presencial y a distancia, 2022",Empresarial Siglo 21,e_presencial,813
Cuadro_2_2_20,"por modalidad presencial y a distancia, 2022",Empresarial Siglo 21,e_distancia,7904
Cuadro_2_2_20,"por modalidad presencial y a distancia, 2022",Norte Santo Tomás de Aquino,ma,7479
Cuadro_2_2_20,"por modalidad presencial y a distancia, 2022",Norte Santo Tomás de Aquino,ma_presencial,7413
Cuadro_2_2_20,"por modalidad presencial y a distancia, 2022",Norte Santo Tomás de Aquino,ma_distancia,66
Cuadro_2_2_20,"por modalidad presencial y a distancia, 2022",Norte Santo Tomás de Aquino,ni,2398
Cuadro_2_2_20,"por modalidad presencial y a distancia, 2022",Norte Santo Tomás de Aquino,ni_presencial,2349
Cuadro_2_2_20,"por modalidad presencial y a distancia, 2022",Norte Santo Tomás de Aquino,ni_distancia,49
Cuadro_2_2_20,"por modalidad presencial y a distancia, 2022",Norte Santo Tomás de Aquino,e,401
Cuadro_2_2_20,"por modalidad presencial y a distancia, 2022",Norte Santo Tomás de Aquino,e_presencial,401
Cuadro_2_2_20,"por modalidad presencial y a distancia, 2022",Norte Santo Tomás de Aquino,e_distancia,0
Cuadro_2_2_23,egresados 2017-2022,Empresarial Siglo 21,e_17,2958
Cuadro_2_2_23,egresados 2017-2022,Empresarial Siglo 21,e_18,3522
Cuadro_2_2_23,egresados 2017-2022,Empresarial Siglo 21,e_19,3885
Cuadro_2_2_23,egresados 2017-2022,Empresarial Siglo 21,e_20,4841
Cuadro_2_2_23,egresados 2017-2022,Empresarial Siglo 21,e_21,3069
Cuadro_2_2_23,egresados 2017-2022,Empresarial Siglo 21,e_22,3991
Cuadro_2_2_23,egresados 2017-2022,Norte Santo Tomás de Aquino,e_17,31
Cuadro_2_2_23,egresados 2017-2022,Norte Santo Tomás de Aquino,e_18,20
Cuadro_2_2_23,egresados 2017-2022,Norte Santo Tomás de Aquino,e_19,14
Cuadro_2_2_23,egresados 2017-2022,Norte Santo Tomás de Aquino,e_20,14
Cuadro_2_2_23,egresados 2017-2022,Norte Santo Tomás de Aquino,e_21,14
Cuadro_2_2_23,egresados 2017-2022,Norte Santo Tomás de Aquino,e_22,2
