# Anuario de Estadisticas Universitarias 2022 (SPU), version CSV, cuadros del capitulo 2 (pregrado y grado), filas de las cuatro universidades sembradas. Bajado el 2026-09-07 de https://www.argentina.gob.ar/educacion/universidades/informacion/publicaciones/anuarios (anuario_csv_2022.zip). Columnas: est = estudiantes, ni = nuevos inscriptos, r = reinscriptos, e = egresados; el sufijo es la rama o la disciplina.
cuadro,descripcion,institucion,columna,valor
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tecnológica Nacional,nuevos_inscriptos,25543
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tecnológica Nacional,reinscriptos,72634
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tecnológica Nacional,egresados,3738
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tecnológica Nacional,est_ciencias_aplicadas,91665
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tecnológica Nacional,ni_ciencias_aplicadas,23050
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tecnológica Nacional,r_ciencias_aplicadas,68615
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tecnológica Nacional,e_ciencias_aplicadas,3021
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tecnológica Nacional,est_ciencias_basicas,210
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tecnológica Nacional,ni_ciencias_basicas,35
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tecnológica Nacional,r_ciencias_basicas,175
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tecnológica Nacional,e_ciencias_basicas,140
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tecnológica Nacional,est_ciencias_salud,321
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tecnológica Nacional,ni_ciencias_salud,116
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tecnológica Nacional,r_ciencias_salud,205
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tecnológica Nacional,e_ciencias_salud,38
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tecnológica Nacional,est_ciencias_humanas,933
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tecnológica Nacional,ni_ciencias_humanas,189
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tecnológica Nacional,r_ciencias_humanas,744
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tecnológica Nacional,e_ciencias_humanas,95
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tecnológica Nacional,est_ciencias_sociales,5048
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tecnológica Nacional,ni_ciencias_sociales,2153
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tecnológica Nacional,r_ciencias_sociales,2895
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tecnológica Nacional,e_ciencias_sociales,444
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tucumán,estudiantes,82401
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tucumán,nuevos_inscriptos,23035
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tucumán,reinscriptos,59366
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tucumán,egresados,2370
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tucumán,est_ciencias_aplicadas,13956
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tucumán,ni_ciencias_aplicadas,2646
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tucumán,r_ciencias_aplicadas,11310
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tucumán,e_ciencias_aplicadas,504
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tucumán,est_ciencias_basicas,2268
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tucumán,ni_ciencias_basicas,507
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tucumán,r_ciencias_basicas,1761
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tucumán,e_ciencias_basicas,58
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tucumán,est_ciencias_salud,14161
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tucumán,ni_ciencias_salud,3542
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tucumán,r_ciencias_salud,10619
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tucumán,e_ciencias_salud,624
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tucumán,est_ciencias_humanas,20364
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tucumán,ni_ciencias_humanas,5326
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tucumán,r_ciencias_humanas,15038
