# SIPES, Base de Titulos Universitarios (DNGU), https://sipes.siu.edu.ar/buscar_titulos_form.php . Todas las paginas del buscador para las cinco instituciones, consultado el 2026-09-08 (hora de Argentina, noche del 7) con el formulario y su paginado. UTN es la universidad entera (no se puede filtrar por Facultad Regional); Siglo 21 dicta a distancia.
cod_institucion,institucion,titulo,carrera,resolucion_reconocimiento_oficial,modalidad,nivel
36,Universidad Nacional de Tucumán,DOCTOR/A EN CIENCIAS ECONÓMICAS: MENCIÓN ESTADÍSTICA,"DOCTORADO EN CIENCIAS ECONÓMICAS CON MENCIÓN EN ECONOMÍA POLÍTICA, CON MENCIÓN EN ADMINISTRACIÓN Y CON MENCIÓN EN ESTADÍSTICA",R.M./3439/2022,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR/A EN CIENCIAS EXACTAS E INGENIERÍA,DOCTORADO EN CIENCIAS EXACTAS E INGENIERÍA,R.M./6/2019 - R.M./65/2023,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR/A EN CIENCIAS QUÍMICAS,DOCTORADO EN CIENCIAS QUÍMICAS,R.M./275/2023,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR/A EN CIENCIAS Y TECNOLOGÍAS DE LA LUZ,DOCTORADO EN CIENCIAS Y TECNOLOGÍAS DE LA LUZ,R.M./453/2022,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR/A EN DERECHO,DOCTORADO EN DERECHO,R.M./1489/2018,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR/A EN DERECHO,DOCTORADO EN DERECHO,D./1259/2025,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR/A EN DERECHO PRIVADO,DOCTORADO EN DERECHO PRIVADO,R.M./156/2018,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR/A EN EDUCACIÓN,DOCTORADO EN EDUCACIÓN,D./422/2025,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR/A EN ESTUDIOS SOCIALES,DOCTORADO EN ESTUDIOS SOCIALES Y POLÍTICOS REGIONALES,R.M./3016/2022,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR/A EN FARMACIA,DOCTORADO EN FARMACIA,D./307/2025,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR/A EN FILOSOFÍA, ,R.M.1357/10,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR/A EN GEOLOGÍA,DOCTORADO EN GEOLOGÍA,R.M./2761/2019,PRESENCIAL,Posgrado
