# SIPES, Base de Titulos Universitarios (DNGU), https://sipes.siu.edu.ar/buscar_titulos_form.php . Todas las paginas del buscador para las cinco instituciones, consultado el 2026-09-08 (hora de Argentina, noche del 7) con el formulario y su paginado. UTN es la universidad entera (no se puede filtrar por Facultad Regional); Siglo 21 dicta a distancia.
cod_institucion,institucion,titulo,carrera,resolucion_reconocimiento_oficial,modalidad,nivel
172,Universidad del Norte Santo Tomás de Aquino,LICENCIADO/A EN TEORÍA Y GESTIÓN DE LAS ORGANIZACIONES,LICENCIATURA EN TEORÍA Y GESTIÓN DE LAS ORGANIZACIONES  CICLO DE COMPLEMENTACIÓN CURRICULAR ,D./641/2026,PRESENCIAL Y A DISTANCIA,Grado
172,Universidad del Norte Santo Tomás de Aquino,LICENCIADO/A EN TERAPIA OCUPACIONAL, ,R.M.0424/02,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,LICENCIADO/A EN TRABAJO SOCIAL,LICENCIATURA EN TRABAJO SOCIAL- CICLO DE COMPLEMENTACIÓN CURRICULAR-,D./562/2026,PRESENCIAL Y A DISTANCIA,Grado
172,Universidad del Norte Santo Tomás de Aquino,LICENCIADO/A EN TRABAJO SOCIAL,LICENCIATURA EN TRABAJO SOCIAL- CICLO DE COMPLEMENTACIÓN CURRICULAR,R.M./199/2017,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,LICENCIADO/A EN TRABAJO SOCIAL, ,R.M.1670/83,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,LICENCIADO/A EN TURISMO, ,R.M.1481/76 - R.M.1358/97,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,LICENCIADO EN ADMINISTRACIÓN AGRARIA, ,DIS.0003/70,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,LICENCIADO EN ADMINISTRACION EDUCATIVA CICLO DE LICENCIATURA, ,R.M.1664/99,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,LICENCIADO EN ADMINISTRACION-ORIENTACION FINANCIERA, ,R.M.1041/76,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,LICENCIADO EN CIENCIAS DE LA EDUCACION -CICLO DE LICENCIATURA, ,R.M.1260/99,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,LICENCIADO EN CIENCIAS DE LA RELIGION, ,R.M.0363/99,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,LICENCIADO EN DIAGNÓSTICO POR IMÁGENES,LICENCIATURA EN DIAGNÓSTICO POR IMÁGENES,R.M./2380/2016,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,LICENCIADO EN DISEÑO MULTIMEDIAL,LICENCIATURA EN DISEÑO MULTIMEDIAL,R.M./1337/2017,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,LICENCIADO EN EDUCACION PARA EL PRIMERO Y SEGUNDO CICLO DE LA EDUCACION GENERAL BASICA - CICLO DE LICENCIATURA, ,R.M.1178/02,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,LICENCIADO EN EMPRESAS TURISTICAS, ,DIS.0003/70,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,LICENCIADO EN ENSEÑANZA DE LA ECONOMIA Y DE LA GESTION ORGANIZACIONAL -CICLO DE LICENCIATURA, ,R.M.0998/02,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,LICENCIADO EN FILOSOFIA -CICLO DE LICENCIATURA,LICENCIATURA EN FILOSOFÍA,R.M./490/2012,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,LICENCIADO EN FILOSOFIA -CICLO DE LICENCIATURA, ,R.M.1070/09 - R.M.1239/10,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,LICENCIADO EN GESTION AMBIENTAL Y ECOLOGIA, ,R.M.0298/03,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,LICENCIADO EN GESTION DE INSTITUCIONES EDUCATIVAS -CICLO DE LICENCIATURA, ,R.M.0484/99,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,LICENCIADO EN HIGIENE Y SEGURIDAD LABORAL, ,R.M.0010/09,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,LICENCIADO EN LETRAS, ,DIS.0003/70,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,LICENCIADO EN LOGISTICA Y GESTION DE TRANSPORTES, ,R.M.0508/03,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,LICENCIADO EN MARKETING,LICENCIATURA EN MARKETING,R.M./1008/2024,A DISTANCIA,Grado
172,Universidad del Norte Santo Tomás de Aquino,LICENCIADO EN ORGANIZACIÓN DE LA PRODUCCION, ,DIS.0003/70,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,LICENCIADO EN RECURSOS HUMANOS, ,R.M.0894/07,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,LICENCIADO EN SEGURIDAD E HIGIENE INDUSTRIAL, ,DIS.0003/70,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,LICENCIADO EN TEOLOGÍA, ,R.M.0641/75 - R.M.0468/07,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,LOCUTOR/A NACIONAL,LOCUCIÓN NACIONAL,R.M./422/2023,PRESENCIAL,Pregrado
172,Universidad del Norte Santo Tomás de Aquino,LOCUTOR/A NACIONAL,LOCUCIÓN NACIONAL,D./707/2026,PRESENCIAL Y A DISTANCIA,Pregrado
172,Universidad del Norte Santo Tomás de Aquino,LOCUTOR NACIONAL, ,R.M.0529/97,PRESENCIAL,Pregrado
172,Universidad del Norte Santo Tomás de Aquino,MAGÍSTER DE LA UNIVERSIDAD DE BUENOS AIRES EN GESTIÓN ESTRATÉGICA DE SISTEMAS Y TECNOLOGÍAS DE LA INFORMACIÓN,MAESTRÍA EN GESTIÓN DE TECNOLOGÍAS DE LA INFORMACIÓN,R.M./2541/2019,PRESENCIAL,Posgrado
172,Universidad del Norte Santo Tomás de Aquino,MAGÍSTER EN DERECHO EMPRESARIO,MAESTRÍA EN DERECHO EMPRESARIO,D./1130/2025,PRESENCIAL,Posgrado
172,Universidad del Norte Santo Tomás de Aquino,MAGÍSTER EN DERECHO EMPRESARIO,MAESTRIA EN DERECHO EMPRESARIO,R.M./4510/2017,PRESENCIAL,Posgrado
172,Universidad del Norte Santo Tomás de Aquino,MAGÍSTER EN DIRECCIÓN Y ADMINISTRACIÓN DE EMPRESAS,MAESTRÍA EN DIRECCIÓN Y ADMINISTRACIÓN DE EMPRESAS,R.M./3462/2021,PRESENCIAL,Posgrado
172,Universidad del Norte Santo Tomás de Aquino,MAGÍSTER EN DIRECCIÓN Y ADMINISTRACIÓN DE EMPRESAS, ,R.M.0160/05,PRESENCIAL,Posgrado
172,Universidad del Norte Santo Tomás de Aquino,MAGÍSTER EN DIRECCIÓN Y ADMINISTRACIÓN DE EMPRESAS,MAESTRÍA EN DIRECCIÓN Y ADMINISTRACIÓN DE EMPRESAS,R.M./2244/2019,PRESENCIAL,Posgrado
172,Universidad del Norte Santo Tomás de Aquino,MAGÍSTER EN DIRECCIÓN Y ADMINISTRACIÓN DE EMPRESAS,MAESTRÍA EN DIRECCIÓN Y ADMINISTRACIÓN DE EMPRESAS,R.M./2440/2022,PRESENCIAL,Posgrado
172,Universidad del Norte Santo Tomás de Aquino,MAGISTER EN GESTION E INVESTIGACION AMBIENTAL, ,R.M.0734/88,PRESENCIAL,Posgrado
172,Universidad del Norte Santo Tomás de Aquino,MAGISTER EN INFORMÁTICA,MAESTRÍA EN INFORMÁTICA,R.M./1404/2018,PRESENCIAL,Posgrado
172,Universidad del Norte Santo Tomás de Aquino,MAGISTER EN INFORMÁTICA, ,R.M.0422/83,PRESENCIAL,Posgrado
172,Universidad del Norte Santo Tomás de Aquino,MAGÍSTER EN MAGISTRATURA Y GESTIÓN JUDICIAL, ,R.M.0580/04 - R.M.1409/08,PRESENCIAL,Posgrado
172,Universidad del Norte Santo Tomás de Aquino,MAGISTER EN POLITICA, ,R.M.1710/83,PRESENCIAL,Posgrado
172,Universidad del Norte Santo Tomás de Aquino,MAGISTER EN TECNOLOGIAS ENERGETICAS APROPIADAS, ,R.M.2828/86,PRESENCIAL,Posgrado
172,Universidad del Norte Santo Tomás de Aquino,MARTILLERO/A PÚBLICO/A,MARTILLERO PÚBLICO,D./710/2026,PRESENCIAL Y A DISTANCIA,Pregrado
172,Universidad del Norte Santo Tomás de Aquino,MÉDICO/A,MEDICINA,R.M./2122/2019,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,MÉDICO/A,MEDICINA,D./682/2025,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,NOTARIO, ,R.M.1832/94,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,PERITO UNIVERSITARIO EN TURISMO, ,DIS.0003/70,PRESENCIAL,Pregrado
172,Universidad del Norte Santo Tomás de Aquino,PROCURADOR/A,PROCURACIÓN,R.M./470/2022,PRESENCIAL,Pregrado
172,Universidad del Norte Santo Tomás de Aquino,PROCURADOR/A, ,R.M.2948/86,PRESENCIAL,Pregrado
172,Universidad del Norte Santo Tomás de Aquino,PROCURADOR/A,PROCURACIÓN,D./874/2026,PRESENCIAL Y A DISTANCIA,Pregrado
172,Universidad del Norte Santo Tomás de Aquino,PROFESOR/A DE DERECHO,PROFESORADO DE DERECHO-CICLO DE COMPLEMENTACIÓN CURRICULAR-,R.M./892/2018,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,"PROFESOR/A DE ENSEÑANZA SECUNDARIA, NORMAL Y ESPECIAL EN FILOSOFÍA","PROFESORADO DE ENSEÑANZA SECUNDARIA, NORMAL Y ESPECIAL EN FILOSOFÍA- DISPOSICIÓN-",R.M./2571/2019,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,PROFESOR/A EN CIENCIAS DE LA EDUCACIÓN, ,DIS.0003/70 - R.M.0044/99,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,PROFESOR/A EN HISTORIA, ,DIS.0003/70,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,PROFESOR/A EN LETRAS, ,DIS.0003/70,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,PROFESOR/A UNIVERSITARIO/A DE INGLÉS,PROFESORADO UNIVERSITARIO DE INGLÉS,R.M./892/2020 - R.M./358/2023,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,PROFESOR/A UNIVERSITARIO/A DE INGLÉS,PROFESORADO UNIVERSITARIO DE INGLÉS -CICLO DE COMPLEMENTACIÓN CURRICULAR-,D./531/2026,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,PROFESOR/A UNIVERSITARIO/A EN CIENCIAS DE LA RELIGIÓN,PROFESORADO UNIVERSITARIO EN CIENCIAS DE LA RELIGIÓN,R.M./523/2020,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,PROFESOR/A UNIVERSITARIO/A EN CIENCIAS ECONÓMICAS,PROFESORADO UNIVERSITARIO EN CIENCIAS ECONÓMICAS - CICLO DE COMPLEMENTACIÓN CURRICULAR-,R.M./987/2020,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,PROFESOR/A UNIVERSITARIO EN EDUCACIÓN,PROFESORADO UNIVERSITARIO EN EDUCACIÓN  C.C.C,R.M./1214/2022 - R.M./577/2023,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,PROFESOR DE CIENCIAS POLÍTICAS,PROFESORADO DE CIENCIAS POLÍTICAS - CICLO DE COMPLEMENTACIÓN CURRICULAR,R.M./1859/2017,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,PROFESOR EN CIENCIAS DE LA EDUCACION, ,DIS.0003/70,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,PROFESOR EN CIENCIAS DE LA RELIGION, ,R.M.0071/78,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,PROFESOR EN FILOSOFÍA, ,DIS.0003/70 - R.M.0101/03 - R.M.0826/05 - R.M.0981/10,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,PROFESOR EN PSICOLOGÍA, ,DIS.0003/70,PRESENCIAL,Grado
172,Universidad del Norte Santo Tomás de Aquino,SECRETARIA/O EJECUTIVA/O, ,R.M.1735/94,PRESENCIAL,Pregrado
172,Universidad del Norte Santo Tomás de Aquino,TÉCNICO/A EN GESTIÓN UNIVERSITARIA,TECNICATURA EN GESTIÓN UNIVERSITARIA,R.M./447/2023,A DISTANCIA,Pregrado
172,Universidad del Norte Santo Tomás de Aquino,TÉCNICO/A UNIVERSITARIO/A EN AUTOMATIZACIÓN Y ROBÓTICA,TECNICATURA UNIVERSITARIA EN AUTOMATIZACIÓN Y ROBÓTICA,R.M./2435/2023,PRESENCIAL,Pregrado
172,Universidad del Norte Santo Tomás de Aquino,TÉCNICO/A UNIVERSITARIO/A EN AUTOMATIZACIÓN Y ROBÓTICA,TECNICATURA UNIVERSITARIA EN AUTOMATIZACIÓN Y ROBÓTICA,R.M./1287/2024,A DISTANCIA,Pregrado
172,Universidad del Norte Santo Tomás de Aquino,TÉCNICO/A UNIVERSITARIO/A EN DESARROLLO Y CALIDAD DE SOFTWARE,TECNICATURA EN DESARROLLO Y CALIDAD DE SOFTWARE,R.M./2495/2018 - R.M./1186/2021,PRESENCIAL,Pregrado
172,Universidad del Norte Santo Tomás de Aquino,TÉCNICO/A UNIVERSITARIO/A EN DISEÑO DE INTERIORES,LICENCIATURA EN DISEÑO DE INTERIORES,R.M./2401/2020,PRESENCIAL,Pregrado
172,Universidad del Norte Santo Tomás de Aquino,TÉCNICO/A UNIVERSITARIO/A EN GASTRONOMÍA,LICENCIATURA EN GASTRONOMÍA,R.M./464/2017,PRESENCIAL,Pregrado
172,Universidad del Norte Santo Tomás de Aquino,TÉCNICO/A UNIVERSITARIO/A EN INFORMÁTICA,TÉCNICO UNIVERSITARIO EN INFORMÁTICA,R.M./4010/2019,PRESENCIAL,Pregrado
172,Universidad del Norte Santo Tomás de Aquino,TÉCNICO/A UNIVERSITARIO/A EN PERIODISMO, ,R.M.0022/99,PRESENCIAL,Pregrado
172,Universidad del Norte Santo Tomás de Aquino,TÉCNICO/A UNIVERSITARIO/A EN PERIODISMO,TECNICATURA UNIVERSITARIA EN PERIODISMO,D./667/2026,PRESENCIAL Y A DISTANCIA,Pregrado
172,Universidad del Norte Santo Tomás de Aquino,TÉCNICO/A UNIVERSITARIO/A EN SEGURIDAD Y PROTECCIÓN CIUDADANA,TECNICATURA UNIVERSITARIA EN SEGURIDAD Y PROTECCIÓN CIUDADANA,R.M./3474/2022,A DISTANCIA,Pregrado
172,Universidad del Norte Santo Tomás de Aquino,TÉCNICO/A UNIVERSITARIO/A EN SEGURIDAD Y PROTECCIÓN CIUDADANA,TECNICATURA UNIVERSITARIA EN SEGURIDAD Y PROTECCIÓN CIUDADANA,R.M./3240/2022,PRESENCIAL,Pregrado
172,Universidad del Norte Santo Tomás de Aquino,TECNICO EN DISEÑO MULTIMEDIAL, ,R.M.0296/03,PRESENCIAL,Pregrado
172,Universidad del Norte Santo Tomás de Aquino,TECNICO EN EMPRESAS TURISTICAS, ,R.M.1104/94,PRESENCIAL,Pregrado
172,Universidad del Norte Santo Tomás de Aquino,TECNICO EN GESTION AGROPECUARIA, ,R.M.0301/03,PRESENCIAL,Pregrado
172,Universidad del Norte Santo Tomás de Aquino,TÉCNICO EN HIGIENE Y SEGURIDAD EN EL TRABAJO, ,R.M.0005/85,PRESENCIAL,Pregrado
172,Universidad del Norte Santo Tomás de Aquino,TECNICO EN HIGIENE Y SEGURIDAD LABORAL, ,R.M.0297/03,PRESENCIAL,Pregrado
172,Universidad del Norte Santo Tomás de Aquino,TECNICO EN INFORMATICA, ,R.M.1440/90,PRESENCIAL,Pregrado
172,Universidad del Norte Santo Tomás de Aquino,TÉCNICO UNIVERSITARIO EN COMERCIALIZACIÓN, ,R.M.0305/96 - R.M.1680/99,PRESENCIAL,Pregrado
172,Universidad del Norte Santo Tomás de Aquino,TÉCNICO UNIVERSITARIO EN DIAGNÓSTICO POR IMÁGENES,LICENCIATURA EN DIAGNÓSTICO POR IMÁGENES,R.M./2380/2016,PRESENCIAL,Pregrado
172,Universidad del Norte Santo Tomás de Aquino,TRABAJADOR SOCIAL, ,DIS.0003/70,PRESENCIAL,Pregrado
197,Universidad de San Pablo - Tucumán,ABOGADO/A, ,R.M.0398/08,PRESENCIAL,Grado
197,Universidad de San Pablo - Tucumán,ANALISTA EN RELACIONES INTERNACIONALES, ,R.M./0543/2012,PRESENCIAL,Pregrado
197,Universidad de San Pablo - Tucumán,ARQUITECTO/A,ARQUITECTURA,R.M./1830/2021,PRESENCIAL,Grado
197,Universidad de San Pablo - Tucumán,BACHILLER EN CIENCIAS NATURALES,BACHILLER EN CIENCIAS NATURALES,R.M./3193/2021,PRESENCIAL,Posgrado
197,Universidad de San Pablo - Tucumán,BACHILLER EN INFORMÁTICA,BACHILLER EN INFORMÁTICA,R.M./3335/2022,PRESENCIAL,Posgrado
197,Universidad de San Pablo - Tucumán,BACHILLER EN TURISMO,BACHILLER EN TURISMO,R.M./1456/2021,PRESENCIAL,Posgrado
197,Universidad de San Pablo - Tucumán,BROMATOLOGO/A,BROMATOLOGÍA,R.M./3979/2021,PRESENCIAL,Pregrado
197,Universidad de San Pablo - Tucumán,CONTADOR/A PÚBLICO,CONTADOR PÚBLICO,R.M./1739/2023,PRESENCIAL,Grado
197,Universidad de San Pablo - Tucumán,CORREDOR/A INMOBILIARIO/A, ,R.M./1241/2012,PRESENCIAL,Pregrado
197,Universidad de San Pablo - Tucumán,ESPECIALISTA EN CAÑA DE AZÚCAR,ESPECIALIZACIÓN EN CAÑA DE AZÚCAR,R.M./1671/2016,PRESENCIAL,Posgrado
197,Universidad de San Pablo - Tucumán,ESPECIALISTA EN CITRICULTURA,ESPECIALIZACIÓN EN CITRICULTURA,R.M./1420/2022,PRESENCIAL,Posgrado
197,Universidad de San Pablo - Tucumán,"ESPECIALISTA EN DERECHOS DEL NIÑO, NIÑA Y ADOLESCENTES","ESPECIALIZACIÓN EN DERECHOS DEL NIÑO, NIÑA Y ADOLESCENTES",D./202/2026,PRESENCIAL,Posgrado
197,Universidad de San Pablo - Tucumán,ESPECIALISTA EN GESTIÓN DEL DEPORTE,ESPECIALIZACIÓN EN GESTIÓN DEL DEPORTE,R.M./3498/2021,PRESENCIAL,Posgrado
197,Universidad de San Pablo - Tucumán,LICENCIADA/O EN PERIODISMO,LICENCIATURA EN PERIODISMO,R.M./3304/2015,PRESENCIAL,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADA/O EN PSICOPEDAGOGÍA,LICENCIATURA EN PSICOPEDAGOGÍA - CICLO DE COMPLEMENTACIÓN CURRICULAR,D./183/2026,A DISTANCIA,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADO/A EN ALTO RENDIMIENTO DEPORTIVO,LICENCIATURA EN ALTO RENDIMIENTO DEPORTIVO-CICLO DE COMPLEMENTACIÓN CURRICULAR,R.M./2124/2021,PRESENCIAL,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADO/A EN CIENCIA DE DATOS,LICENCIATURA EN CIENCIAS DE DATOS,R.M./1225/2023,A DISTANCIA,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADO/A EN CIENCIA POLÍTICA, ,R.M.0398/08,PRESENCIAL,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADO/A EN CIENCIA POLÍTICA,LICENCIATURA EN CIENCIA POLITICA,R.M./1052/2023,A DISTANCIA,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADO/A EN COMERCIO EXTERIOR,LICENCIATURA EN COMERCIO EXTERIOR,R.M./927/2015,PRESENCIAL,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADO/A EN COMERCIO EXTERIOR,LICENCIATURA EN COMERCIO EXTERIOR,R.M./1129/2022,A DISTANCIA,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADO/A EN DISEÑO TEXTIL Y DE INDUMENTARIA, ,R.M./0653/2012,PRESENCIAL,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADO/A EN EDUCACIÓN ESPECIAL,LICENCIATURA EN EDUCACIÓN ESPECIAL (CICLO DE COMPLEMENTACIÓN CURRICULAR),D./240/2024,A DISTANCIA,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADO/A EN EDUCACIÓN INICIAL,LICENCIATURA EN EDUCACIÓN INICIAL - CICLO DE COMPLEMENTACIÓN CURRICULAR,R.M./14/2023,A DISTANCIA,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADO/A EN EDUCACIÓN PRIMARIA,LICENCIATURA EN EDUCACIÓN PRIMARIA (CICLO DE COMPLEMENTACIÓN CURRICULAR),D./302/2025,A DISTANCIA,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADO/A EN EN ALTO RENDIMIENTO DEPORTIVO,LICENCIATURA EN ALTO RENDIMIENTO DEPORTIVO-CICLO DE COMPLEMENTACIÓN CURRICULAR,R.M./2270/2022,A DISTANCIA,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADO/A EN FONOAUDIOLOGÍA,LICENCIATURA EN FONAUDIOLOGÍA- CICLO DE COMPLEMENTACIÓN CURRICULAR,R.M./2863/2022,PRESENCIAL,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADO/A EN FONOAUDIOLOGÍA,LICENCIATURA EN FONOAUDIOLOGÍA,R.M./1976/2022,PRESENCIAL,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADO/A EN GESTIÓN DE ENTIDADES CULTURALES,LICENCIATURA EN GESTIÓN DE ENTIDADES CULTURALES,R.M./3683/2021,PRESENCIAL,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADO/A EN GESTIÓN DE ENTIDADES CULTURALES,LICENCIATURA EN GESTIÓN DE ENTIDADES CULTURALES,R.M./84/2023,A DISTANCIA,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADO/A EN GESTION DEPORTIVA,LICENCIATURA EN GESTION DEPORTIVA,R.M./1785/2021,PRESENCIAL,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADO/A EN INGLÉS,LICENCIATURA EN INGLÉS - CICLO DE COMPLEMENTACIÓN CURRICULAR,D./726/2025,PRESENCIAL,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADO/A EN KINESIOLOGÍA Y FISIATRÍA,LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA,D./1302,PRESENCIAL,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADO/A EN MUSICA,LICENCIATURA EN MÚSICA - CICLO DE COMPLEMENTACIÓN CURRICULAR,R.M./2523/2022,A DISTANCIA,Grado
197,Universidad de San Pablo - Tucumán,"LICENCIADO/A EN PROTOCOLO, CEREMONIAL Y ORGANIZACION DE EVENTOS","LICENCIATURA EN PROTOCOLO, CEREMONIAL Y ORGANIZACIÓN DE EVENTOS-CICLO DE COMPLEMENTACIÓN CURRICULAR",R.M./3897/2021,A DISTANCIA,Grado
197,Universidad de San Pablo - Tucumán,"LICENCIADO/A EN PROTOCOLO, CEREMONIAL Y ORGANIZACIÓN DE EVENTOS","LICENCIATURA EN PROTOCOLO, CEREMONIAL Y ORGANIZACIÓN DE EVENTOS-CICLO DE COMPLEMENTACIÓN CURRICULAR",R.M./392/2020,PRESENCIAL,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADO/A EN RELACIONES INTERNACIONALES, ,R.M./0543/2012,PRESENCIAL,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADO/A EN RELACIONES INTERNACIONALES,LICENCIATURA EN RELACIONES INTERNACIONALES,R.M./1576/2022,A DISTANCIA,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADO/A EN SEGURIDAD CIUDADANA,LICENCIATURA EN SEGURIDAD CIUDADANA -CICLO DE COMPLEMENTACIÓN CURRICULAR-,R.M./2382/2022,A DISTANCIA,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADO/A EN SEGURIDAD CIUDADANA,LICENCIATURA EN SEGURIDAD CIUDADANA -CICLO DE COMPLEMENTACIÓN CURRICULAR-,R.M./2066/2017 - R.M./152/2021,PRESENCIAL,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADO/A EN SEGURIDAD PENITENCIARIA,LICENCIATURA EN SEGURIDAD PENITENCIARIA- CICLO DE COMPLEMENTACIÓN CURRICULAR,R.M./3407/2022,A DISTANCIA,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADO/A EN SEGURIDAD PENITENCIARIA,LICENCIATURA EN SEGURIDAD PENITENCIARIA- CICLO DE COMPLEMENTACIÓN CURRICULAR,R.M./15/2023,PRESENCIAL,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADO/A EN TURISMO,LICENCIATURA EN TURISMO,D./342/2026,PRESENCIAL,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS, ,R.M.0398/08,PRESENCIAL,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADO EN DISEÑO INDUSTRIAL, ,R.M.0398/08,PRESENCIAL,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADO EN FINANZAS, ,R.M.0398/08,PRESENCIAL,Grado
197,Universidad de San Pablo - Tucumán,LICENCIADO EN GESTION DE EMPRESAS AGROINDUSTRIALES, ,R.M.0398/08,PRESENCIAL,Grado
197,Universidad de San Pablo - Tucumán,LICENCIATURA EN ENERGIAS RENOVABLES,LICENCIATURA EN ENERGÍAS RENOVABLES,R.M./3001/2022,A DISTANCIA,Grado
197,Universidad de San Pablo - Tucumán,LICENCIATURA EN PERIODISMO,LICENCIATURA EN PERIODISMO,R.M./1135/2022,A DISTANCIA,Grado
197,Universidad de San Pablo - Tucumán,MAGÍSTER EN DERECHO PARLAMENTARIO,MAESTRÍA EN DERECHO PARLAMENTARIO,R.M./2178/2014,PRESENCIAL,Posgrado
197,Universidad de San Pablo - Tucumán,MAGÍSTER EN DIRECCIÓN Y GESTIÓN DE EMPRESAS,MAESTRÍA EN DIRECCIÓN Y GESTIÓN DE EMPRESAS,R.M./3477/2017,PRESENCIAL,Posgrado
197,Universidad de San Pablo - Tucumán,MAGISTER EN POLÍTICA Y GOBIERNO,MAESTRÍA EN POLÍTICA Y GOBIERNO,R.M./1959/2017,PRESENCIAL,Posgrado
197,Universidad de San Pablo - Tucumán,MAGISTER EN POLÍTICA Y GOBIERNO,MAESTRÍA EN POLÍTICA Y GOBIERNO,D./286/2026,PRESENCIAL,Posgrado
197,Universidad de San Pablo - Tucumán,MEDICO,MEDICINA,D./1365/2025,PRESENCIAL,Grado
197,Universidad de San Pablo - Tucumán,MÉDICO/A,MEDICINA,R.M./1558/2015,PRESENCIAL,Grado
197,Universidad de San Pablo - Tucumán,PROCURADOR,PROCURACIÓN, ,PRESENCIAL,Pregrado
197,Universidad de San Pablo - Tucumán,PROFESOR/A DE INGLÉS,PROFESORADO DE INGLÉS,R.M./3432/2021,PRESENCIAL,Grado
197,Universidad de San Pablo - Tucumán,PROFESOR/A UNIVERSITARIO/A (CON EL TÍTULO DE BASE QUE CORRESPONDA),PROFESORADO UNIVERSITARIO (CON EL TÍTULO DE BASE QUE CORRESPONDA),R.M./1156/2023,A DISTANCIA,Grado
